message_id,action,message_type,reason,confidence,evidence_message_ids
msg_067,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0180,message_0269,message_0030,message_0189,message_0141"
msg_039,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0134,message_0403,message_0255,message_0037,message_0002"
msg_082,notify,personal,Voice note implies personal communication.,0.5,"message_0397,message_0218"
msg_066,digest,forward,Message is forwarded. | Contains an image.,0.7,"message_0188,message_0103,message_0084,message_0112,message_0158"
msg_049,none,unknown,Contains an image.,0.2,"message_0154,message_0290,message_0291,message_0153"
msg_015,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0086,message_0173,message_0045,message_0085,message_0214"
msg_051,digest,forward,Message is forwarded.,0.7,"message_0188,message_0103,message_0084,message_0112,message_0158"
msg_097,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0004,message_0225,message_0239,message_0054,message_0106"
msg_089,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0396,message_0300,message_0299"
msg_053,digest,forward,Message is forwarded. | Contains an image.,0.7,"message_0411,message_0162,message_0161,message_0253"
msg_059,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0086,message_0173,message_0045,message_0085,message_0214"
msg_024,digest,forward,Message is forwarded.,0.7,"message_0188,message_0103,message_0084,message_0112,message_0158"
msg_072,digest,forward,Message is forwarded.,0.7,"message_0086,message_0173,message_0045,message_0085,message_0214"
msg_036,digest,forward,Message is forwarded.,0.7,"message_0281,message_0126,message_0125,message_0283,message_0282"
msg_076,digest,forward,Message is forwarded.,0.7,"message_0375,message_0160,message_0208,message_0286,message_0374"
msg_055,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0165,message_0166"
msg_102,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0230,message_0027,message_0229,message_0061,message_0062"
msg_080,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0180,message_0269,message_0030,message_0189,message_0141"
msg_093,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0348,message_0347,message_0349,message_0398,message_0387"
msg_034,digest,forward,Message is forwarded.,0.7,"message_0040,message_0077,message_0172,message_0167,message_0014"
msg_035,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0281,message_0126,message_0125,message_0283,message_0282"
msg_101,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0230,message_0027,message_0229,message_0061,message_0062"
msg_041,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0004,message_0225,message_0239,message_0054,message_0106"
msg_011,digest,forward,Message is forwarded.,0.7,"message_0040,message_0077,message_0172,message_0167,message_0014"
msg_110,digest,forward,Message is forwarded.,0.7,"message_0381,message_0047,message_0320,message_0238,message_0380"
msg_095,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0252,message_0251,message_0407"
msg_074,digest,forward,Message is forwarded. | Contains an image.,0.7,"message_0203,message_0358,message_0204,message_0223"
msg_073,digest,forward,Message is forwarded.,0.7,"message_0183,message_0024,message_0088,message_0087,message_0201"
msg_054,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0163,message_0164"
msg_068,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0192,message_0191"
msg_100,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0248,message_0362,message_0228,message_0363,message_0227"
msg_062,digest,forward,Message is forwarded. | Contains an image.,0.7,"message_0180,message_0269,message_0030,message_0189,message_0141"
msg_096,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0354,message_0353"
msg_043,digest,forward,Message is forwarded.,0.7,"message_0180,message_0269,message_0030,message_0189,message_0141"
msg_077,none,unknown,Contains an image.,0.2,"message_0134,message_0403,message_0255,message_0037,message_0002"
msg_081,notify,personal,Voice note implies personal communication.,0.5,message_0217
msg_025,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0004,message_0225,message_0239,message_0054,message_0106"
msg_084,notify,personal,Voice note implies personal communication.,0.5,"message_0388,message_0356,message_0357,message_0048,message_0389"
msg_022,notify,unknown,No specific rules matched. Defaulting to standard notification.,0.5,"message_0100,message_0152,message_0149,message_0150,message_0151"
